max_denom,mp_diff,extrm_diff,mp_ratio1_num,mp_ratio1_denom,mp_ratio2_num,mp_ratio2_denom
5,0.09999999999999998,0.04999999999999999,2,5,2,4
6,0.06666666666666671,0.033333333333333354,2,6,2,5
7,0.028571428571428525,0.023809523809523808,2,5,3,7
8,0.025000000000000022,0.01785714285714285,3,8,2,5
9,0.015873015873015872,0.013888888888888895,3,7,4,9
10,0.01428571428571429,0.0111111111111111,2,7,3,10
11,0.01010101010101011,0.009090909090909094,4,9,5,11
12,0.01010101010101011,0.007575757575757583,4,9,5,11
13,0.006993006993007034,0.006410256410256401,5,11,6,13
14,0.006493506493506496,0.005494505494505503,5,14,4,11
15,0.00512820512820511,0.004761904761904759,6,13,7,15
16,0.004807692307692291,0.004166666666666666,4,13,5,16
17,0.0039215686274509665,0.003676470588235295,7,15,8,17
18,0.0039215686274509665,0.0032679738562091526,7,15,8,17
19,0.0030959752321981227,0.0029239766081871343,8,17,9,19
20,0.0029411764705882804,0.0026315789473684154,7,20,6,17
21,0.002506265664160401,0.0023809523809523864,9,19,10,21
22,0.002392344497607668,0.0021645021645021606,6,19,7,22
23,0.0020703933747412417,0.0019762845849802396,10,21,11,23
24,0.0020703933747412417,0.0018115942028985518,10,21,11,23
25,0.0017391304347825765,0.0016666666666666635,11,23,12,25
26,0.0016722408026755842,0.0015384615384615372,9,26,8,23
27,0.0014814814814814725,0.0014245014245014287,12,25,13,27
28,0.0014285714285714457,0.0013227513227513227,8,25,9,28
29,0.0012771392081737387,0.0012315270935960576,13,27,14,29
30,0.0012771392081737387,0.0011494252873563218,13,27,14,29
31,0.0011123470522803047,0.0010752688172043015,14,29,15,31
32,0.0010775862068965747,0.0010080645161290314,11,32,10,29
33,0.0009775171065493637,0.0009469696969696961,15,31,16,33
34,0.000948766603415585,0.0008912655971479513,10,31,11,34
35,0.0008658008658008476,0.000840336134453782,16,33,17,35
36,0.0008658008658008476,0.0007936507936507943,16,33,17,35
37,0.000772200772200804,0.0007507507507507477,17,35,18,37
38,0.0007518796992481147,0.0007112375533428195,13,38,12,35
39,0.000693000693000656,0.0006747638326585689,18,37,19,39
40,0.0006756756756756688,0.0006410256410256387,12,37,13,40
41,0.0006253908692933074,0.0006097560975609762,19,39,20,41
42,0.0006253908692933074,0.000580720092915217,19,39,20,41
43,0.0005672149744753163,0.0005537098560354364,20,41,21,43
44,0.0005543237250554833,0.0005285412262156439,15,44,14,41
45,0.0005167958656330796,0.0005050505050505048,21,43,22,45
46,0.0005055611729019027,0.000483091787439615,14,43,15,46
47,0.00047281323877068626,0.00046253469010175755,22,45,23,47
48,0.00047281323877068626,0.00044326241134751837,22,45,23,47
49,0.00043421623968736833,0.00042517006802721136,23,47,24,49
50,0.00042553191489358433,0.0004081632653061204,17,50,16,47
51,0.0004001600640256009,0.00039215686274509873,24,49,25,51
52,0.0003924646781789942,0.00037707390648566985,16,49,17,52
53,0.00036995930447653036,0.00036284470246734576,25,51,26,53
54,0.00036995930447653036,0.0003494060097833686,25,51,26,53
55,0.00034305317324184736,0.00033670033670033656,26,53,27,55
56,0.0003369272237196408,0.0003246753246753248,19,56,18,53
57,0.00031897926634766316,0.0003132832080200501,27,55,28,57
58,0.00031347962382444194,0.0003024803387779787,18,55,19,58
59,0.0002973535533750127,0.00029222676797194605,28,57,29,59
60,0.0002973535533750127,0.00028248587570621486,28,57,29,59
61,0.00027785495971099916,0.0002732240437158459,29,59,30,61
62,0.00027337342810279663,0.00026441036488630484,21,62,20,59
63,0.0002602133749674551,0.00025601638504864355,30,61,31,63
64,0.00025614754098363113,0.00024801587301587213,20,61,21,64
65,0.00024420024420029884,0.00024038461538461453,31,63,32,65
66,0.00024420024420029884,0.00023310023310023353,31,63,32,65
67,0.00022962112514346433,0.000226142017186794,32,65,33,67
68,0.0002262443438914019,0.00021949078138718166,23,68,22,65
69,0.00021630975557002108,0.0002131287297527703,33,67,34,69
70,0.0002132196162046851,0.0002070393374741207,22,67,23,70
71,0.0002041232904674284,0.00020120724346076382,34,69,35,71
72,0.0002041232904674284,0.00019561815336463333,34,69,35,71
73,0.00019293845263357312,0.0001902587519025875,35,71,36,73
74,0.00019033117624667195,0.00018511662347278635,25,74,24,71
75,0.00018264840182652398,0.00018018018018018007,36,73,37,75
76,0.00018024513338144033,0.00017543859649122966,24,73,25,76
77,0.00017316017316015841,0.00017088174982911666,37,75,38,77
78,0.00017316017316015841,0.0001665001665001678,37,75,38,77
79,0.00016439256945588454,0.00016228497241155444,38,77,39,79
80,0.00016233766233764158,0.00015822784810126493,27,80,26,77
81,0.0001562744178777442,0.00015432098765432237,39,79,40,81
82,0.00015436863229395525,0.0001505570611261657,26,79,27,82
83,0.00014874312063067885,0.00014692918013517464,40,81,41,83
84,0.00014874312063067885,0.00014343086632243388,40,81,41,83
85,0.00014174344436573838,0.0001400560224089631,41,83,42,85
86,0.00014009526478003798,0.00013679890560875513,29,86,28,83
87,0.0001352265043948475,0.00013365410318096765,42,85,43,87
88,0.00013368983957218195,0.00013061650992685428,28,85,29,88
89,0.00012914890869170081,0.00012768130745658898,43,87,44,89
90,0.00012914890869170081,0.00012484394506866343,43,87,44,89
91,0.00012347203358442638,0.00012210012210012167,44,89,45,91
92,0.0001221299462628167,0.00011944577161968582,31,92,30,89
93,0.00011816140848397438,0.00011687704534829244,45,91,46,93
94,0.00011690437222350303,0.00011439029970258634,30,91,31,94
95,0.00011318619128464213,0.0001119820828667413,46,93,47,95
96,0.00011318619128464213,0.00010964912280701788,46,93,47,95
97,0.00010851871947914482,0.00010738831615120237,47,95,48,97
98,0.00010741138560688146,0.00010519671786240331,33,98,32,95
99,0.00010413412475268613,0.00010307153164295854,48,97,49,99
100,0.00010309278350517648,0.00010101010101010166,32,97,33,100
101,0.00010001000100007262,9.90099009900991e-05,49,99,50,101
102,0.00010001000100007262,9.706853038245027e-05,49,99,50,101
103,9.61261174661221e-05,9.518370454978178e-05,50,101,51,103
104,9.520182787509102e-05,9.335324869305314e-05,35,104,34,101
105,9.246417013408781e-05,9.157509157509125e-05,51,103,52,105
106,9.159186664220442e-05,8.984725965858163e-05,34,103,35,106
107,8.900756564306223e-05,8.816787162757925e-05,52,105,53,107
108,8.900756564306223e-05,8.653513326410504e-05,52,105,53,107
109,8.574123295895797e-05,8.494733265375365e-05,53,107,54,109
110,8.496176720473869e-05,8.340283569641463e-05,37,110,36,107
111,8.265145879821079e-05,8.190008190008154e-05,54,109,55,111
112,8.191349934466574e-05,8.043758043758086e-05,36,109,37,112
113,7.972574344256023e-05,7.90139064475344e-05,55,111,56,113
114,7.972574344256023e-05,7.762769756249066e-05,55,111,56,113
115,7.695267410545714e-05,7.627765064835944e-05,56,113,57,115
116,7.628928898384402e-05,7.496251874062991e-05,39,116,38,113
117,7.432181345223832e-05,7.36811081638658e-05,57,115,58,117
118,7.369196757556207e-05,7.243227582210722e-05,38,115,39,118
119,7.182360123536569e-05,7.121492664862589e-05,58,117,59,119
120,7.182360123536569e-05,7.002801120448154e-05,58,117,59,119
121,6.944926731022871e-05,6.887052341597762e-05,59,119,60,121
122,6.888001102084429e-05,6.774149844194534e-05,41,122,40,119
123,6.719075455213774e-05,6.664001066240127e-05,60,121,61,123
124,6.664889362834048e-05,6.556517178075115e-05,40,121,41,124
125,6.504065040652263e-05,6.451612903225767e-05,61,123,62,125
126,6.504065040652263e-05,6.34920634920641e-05,61,123,62,125
127,6.299212598426251e-05,6.249218847644011e-05,62,125,63,127
128,6.250000000002087e-05,6.151574803149595e-05,43,128,42,125
129,6.103888176767214e-05,6.0562015503876077e-05,63,127,64,129
130,6.0569351907902025e-05,5.963029218843119e-05,42,127,43,130
131,5.917509911829155e-05,5.871990604815105e-05,64,129,65,131
132,5.917509911829155e-05,5.783021050196572e-05,64,129,65,131
133,5.73953968891483e-05,5.696058327637338e-05,65,131,66,133
134,5.696707303176618e-05,5.611042531702363e-05,45,134,44,131
135,5.569479253692e-05,5.527915975677127e-05,66,133,67,135
136,5.5285272003546826e-05,5.446623093681956e-05,44,133,45,136
137,5.406866720736314e-05,5.3671103477887644e-05,67,135,68,137
138,5.406866720736314e-05,5.28932613984975e-05,67,135,68,137
139,5.251273433809489e-05,5.213220727765585e-05,68,137,69,139
140,5.213764337852478e-05,5.13874614594045e-05,47,140,46,137
141,5.1023011378104055e-05,5.065856129685912e-05,69,139,70,141
142,5.066369439660212e-05,4.9945060433522794e-05,46,139,47,142
143,4.9595794276657834e-05,4.924652811976772e-05,70,141,71,143
144,4.9595794276657834e-05,4.856254856254894e-05,70,141,71,143
145,4.822763443451672e-05,4.789272030651312e-05,71,143,72,145
146,4.7897308171285236e-05,4.7236655644780634e-05,49,146,48,143
147,4.691531785128156e-05,4.659398005777641e-05,72,145,73,147
148,4.659832246040052e-05,4.5964331678616764e-05,48,145,49,148
149,4.565584623111851e-05,4.5347360783602915e-05,73,147,74,149
150,4.565584623111851e-05,4.474272930648712e-05,73,147,74,149
151,4.444641984086006e-05,4.415011037527637e-05,74,149,75,151
152,4.415400918406087e-05,4.3569187870338456e-05,51,152,50,149
153,4.328442193657356e-05,4.2999656002751414e-05,75,151,76,153
154,4.300335426160595e-05,4.244121891180692e-05,50,151,51,154
155,4.2167404596227254e-05,4.189359028068749e-05,76,153,77,155
156,4.2167404596227254e-05,4.135649296939641e-05,76,153,77,155
157,4.1093075816733826e-05,4.0829658664053026e-05,77,155,78,157
158,4.083299305840393e-05,4.0312827541724196e-05,53,158,52,155
159,4.005928774586387e-05,3.9805747950003544e-05,78,157,79,159
160,3.980891719745916e-05,3.930817610062892e-05,52,157,53,160
161,3.9064025938506663e-05,3.881987577639828e-05,79,159,80,161
162,3.9064025938506663e-05,3.83406180507629e-05,79,159,80,161
163,3.8105399535137696e-05,3.787018101946479e-05,80,161,81,163
164,3.78730495379509e-05,3.740834954361807e-05,55,164,54,161
165,3.718163227361959e-05,3.695491500369571e-05,81,163,82,165
166,3.695764653710576e-05,3.650967506389161e-05,54,163,55,166
167,3.6291054255122024e-05,3.607243344636024e-05,82,165,83,167
168,3.6291054255122024e-05,3.5642999714856696e-05,82,165,83,167
169,3.543209439110795e-05,3.522118906734272e-05,83,167,84,169
170,3.522367030645013e-05,3.480682213713882e-05,57,170,56,167
171,3.460327346965775e-05,3.4399724802201825e-05,84,169,85,171
172,3.440209164712327e-05,3.399972800217574e-05,56,169,57,172
173,3.380319778251151e-05,3.3606667562844673e-05,85,171,86,173
174,3.380319778251151e-05,3.3220384027639153e-05,85,171,86,173
175,3.30305532618147e-05,3.2840722495894835e-05,86,173,87,175
176,3.2842879663708135e-05,3.2467532467532305e-05,59,176,58,173
177,3.228410008071503e-05,3.210066769388821e-05,87,175,88,177
178,3.2102728731941976e-05,3.173998603440628e-05,58,175,59,178
179,3.156266767662119e-05,3.1385349318937585e-05,88,177,89,179
180,3.156266767662119e-05,3.103662321539413e-05,88,177,89,179
181,3.086515015898739e-05,3.0693677102517324e-05,89,179,90,181
182,3.069556142182295e-05,3.035638394754351e-05,61,182,60,179
183,3.0190502068039304e-05,3.002462018855505e-05,90,181,91,183
184,3.002642325244942e-05,2.9698265621287863e-05,60,181,61,184
185,2.953773445579788e-05,2.9377203290246318e-05,91,183,92,185
186,2.953773445579788e-05,2.90613193838999e-05,91,183,92,185
187,2.8905911258814143e-05,2.875050313380558e-05,92,185,93,187
188,2.8752156411737673e-05,2.8444646717487587e-05,63,188,62,185
189,2.8294145941187843e-05,2.8143645164921925e-05,93,187,94,189
190,2.8145229383602643e-05,2.7847396268448725e-05,62,187,63,190
191,2.7701598382279258e-05,2.7555800496003972e-05,94,189,95,191
192,2.7701598382279258e-05,2.726876090750497e-05,94,189,95,191
193,2.712747199085097e-05,2.6986183074265493e-05,95,191,96,193
194,2.6987639661080198e-05,2.670797500133569e-05,65,194,64,191
195,2.657101102698789e-05,2.643404705260366e-05,96,193,97,195
196,2.6435444644146155e-05,2.6164311878597996e-05,64,193,65,196
197,2.603149811269967e-05,2.589868434683517e-05,97,195,98,197
198,2.603149811269967e-05,2.56370814746441e-05,97,195,98,197
199,2.5508251919492686e-05,2.5379422364347343e-05,98,197,99,199
200,2.5380710659883565e-05,2.5125628140703488e-05,67,200,66,197
